Reproduction,Distribution,Derivative Works,Sublicensing,PatentGrant,Notice,Attribution,Share Alike,Copyleft,Lesser Copyleft,State Changes,Commercial,Use Trademark,Link,Licence,
Permission,Permission,Permission,Permission,Permission,Requirement,Requirement,Requirement,Requirement,Requirement,Requirement,Prohibition,Prohibition,
1,1,1,1,0,0,0,0,0,0,0,0,0,https://creativecommons.org/publicdomain/zero/1.0/legalcode,CC0 1.0
1,1,1,-1,0,0,0,0,0,0,0,0,0,http://creativecommons.org/publicdomain/mark/1.0/,CC-PDM 1.0
1,1,0,0,0,1,1,0,0,0,1,0,0,http://creativecommons.org/licenses/by-nd/4.0/legalcode,CC-BY-ND 4.0
1,1,0,0,0,1,1,0,0,0,1,1,0,http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,CC-BY-NC-ND 4.0
1,1,1,0,0,1,1,0,0,0,1,0,0,http://creativecommons.org/licenses/by/4.0/legalcode,CC-BY 4.0
1,1,1,0,0,1,1,1,1,0,1,0,0,http://creativecommons.org/licenses/by-sa/4.0/legalcode,CC-BY-SA 4.0
1,1,1,0,0,1,1,0,0,0,1,1,0,http://creativecommons.org/licenses/by-nc/4.0/legalcode,CC-BY-NC 4.0
1,1,1,0,0,1,1,1,1,0,1,1,0,http://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,CC-BY-NC-SA 4.0
1,1,1,0,0,1,1,0,0,0,0,0,0,https://creativecommons.org/licenses/by/3.0/at/legalcode,CC BY 3.0 Austria
1,1,1,0,0,1,1,1,1,0,0,0,0,http://data.norge.no/nlod/en/1.0,NLOD
1,1,1,1,0,0,1,0,0,0,0,0,0,http://data.gov.ro/base/images/logoinst/OGL-ROU-1.0.pdf,OGL-ROU-1.0
1,1,1,0,0,1,1,0,0,0,0,0,0,http://creativecommons.org/licenses/by/3.0/nl/legalcode,CC-BY 3.0 NL
1,1,1,0,0,1,1,1,0,1,0,0,0,http://creativecommons.org/licenses/by-sa/3.0/nl/legalcode,CC-BY-SA 3.0 NL
1,1,1,0,0,1,1,1,1,0,0,0,0,http://www.formez.it/iodl/,IODL v1.0
1,1,1,0,0,1,1,0,0,0,0,0,0,http://www.dati.gov.it/iodl/2.0/,IODL v2.0
1,1,1,1,0,0,0,0,0,0,0,0,0,http://opendatacommons.org/licenses/pddl/1-0/,ODC-PDDL
1,1,1,0,0,1,1,1,1,0,0,0,0,http://opendatacommons.org/licenses/by/1.0/,ODC-BY
1,1,1,0,0,1,1,1,1,0,0,0,0,http://opendatacommons.org/licenses/odbl/1.0/,ODC-ODbL
1,1,1,1,0,1,1,0,0,0,0,0,0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/1/,OGL 1.0
1,1,1,1,0,1,1,0,0,0,0,0,0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,OGL 2.0
1,1,1,1,0,1,1,0,0,0,0,0,0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,OGL 3.0
1,1,1,1,0,1,1,0,0,0,0,1,0,http://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/non-commercial-government-licence.htm,OGL-NC
1,1,1,1,0,0,0,0,0,0,0,0,0,https://www.govdata.de/dl-de/zero-2-0,DL-DE-ZERO 2.0
1,1,1,1,0,1,1,0,0,0,1,0,0,https://www.govdata.de/dl-de/by-2-0,DL-DE-BY 2.0
1,1,1,1,0,0,1,0,0,0,1,0,0,https://www.govdata.de/dl-de/by-1-0,DL-DE-BY 1.0
1,1,1,1,0,0,1,0,0,0,1,1,0,https://www.govdata.de/dl-de/by-nc-1-0,DL-DE-BY-NC 1.0
1,1,1,1,1,1,1,1,1,0,0,0,0,https://joinup.ec.europa.eu/software/page/eupl/licence-eupl,EUPL-1.1
1,1,1,0,1,0,1,0,0,0,0,0,0,https://www.etalab.gouv.fr/licence-ouverte-open-licence,FR-LO
1,0,0,0,0,1,1,0,0,0,0,1,0,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/inspire-licence.html,PSEUL
1,1,1,0,0,1,1,1,1,0,1,0,0,https://gnu.org/licenses/old-licenses/fdl-1.1,GFDL-1.1
1,1,1,0,0,1,1,1,1,0,1,0,0,https://gnu.org/licenses/old-licenses/fdl-1.2,GFDL-1.2
1,1,1,0,0,1,1,1,1,0,1,0,0,https://gnu.org/licenses/fdl-1.3.en.html,GFDL-1.3
