CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/legalcode,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
CC-PDM  1.0,http://creativecommons.org/publicdomain/mark/1.0/,Yes,Yes,Yes,N.A.,No,No,No,No,No,No,No,No,No
CC-BY-ND 4.0,http://creativecommons.org/licenses/by-nd/4.0/legalcode,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No
CC-BY-NC-ND  4.0,http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No
CC-BY  4.0,http://creativecommons.org/licenses/by/4.0/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No
CC-BY-SA  4.0,http://creativecommons.org/licenses/by-sa/4.0/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
CC-BY-NC  4.0,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No
CC-BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
CC BY 3.0 Austria,https://creativecommons.org/licenses/by/3.0/at/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
NLOD,http://data.norge.no/nlod/en/1.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
OGL-ROU-1.0,http://data.gov.ro/base/images/logoinst/OGL-ROU-1.0.pdf,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
CC-BY 3.0 NL,http://creativecommons.org/licenses/by/3.0/nl/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
CC-BY-SA 3.0 NL,http://creativecommons.org/licenses/by-sa/3.0/nl/legalcode,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
IODL v1.0,http://www.formez.it/iodl/,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
IODL v2.0,http://www.dati.gov.it/iodl/2.0/,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
ODC-PDDL,http://opendatacommons.org/licenses/pddl/1-0/,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
ODC-BY,http://opendatacommons.org/licenses/by/1.0/,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
ODC-ODbL,http://opendatacommons.org/licenses/odbl/1.0/,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
OGL 1.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/1/,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
OGL 2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
OGL 3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
OGL-NC,http://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/non-commercial-government-licence.htm,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No
DL-DE-ZERO 2.0,https://www.govdata.de/dl-de/zero-2-0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
DL-DE-BY 2.0,https://www.govdata.de/dl-de/by-2-0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No
DL-DE-BY 1.0,https://www.govdata.de/dl-de/by-1-0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No
DL-DE-BY-NC 1.0,https://www.govdata.de/dl-de/by-nc-1-0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No
EUPL-1.1,https://joinup.ec.europa.eu/software/page/eupl/licence-eupl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
FR-LO,https://www.etalab.gouv.fr/licence-ouverte-open-licence,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
PSEUL,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/inspire-licence.html,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No
GFDL-1.1,https://gnu.org/licenses/old-licenses/fdl-1.1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
GFDL-1.2,https://gnu.org/licenses/old-licenses/fdl-1.2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
GFDL-1.3,https://gnu.org/licenses/fdl-1.3.en.html,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
